annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
465	4.391666667	0.724792206	0.049717807	0.675074399	0.774510013	FALSE	FALSE	FALSE
355	3.352777778	0.767049499	0.049247136	0.717802363	0.816296635	FALSE	FALSE	FALSE
325	3.069444444	0.779025343	0.0499435	0.729081843	0.828968844	FALSE	FALSE	FALSE
475	4.486111111	0.710716533	0.049970114	0.660746419	0.760686647	FALSE	FALSE	FALSE
363	3.433333333	0.763365915	0.049336376	0.71402954	0.812702291	FALSE	FALSE	FALSE
400	3.777777778	0.749920719	0.049800383	0.700120336	0.799721102	FALSE	FALSE	FALSE
85	0.802777778	0.731397981	0.047918594	0.683479387	0.779316575	FALSE	FALSE	FALSE
413	3.905555556	0.748760097	0.049748147	0.69901195	0.798508245	FALSE	FALSE	FALSE
508	4.802777778	0.734219984	0.049759441	0.684460543	0.783979425	FALSE	FALSE	FALSE
440	4.155555556	0.750610094	0.049628177	0.700981917	0.800238272	FALSE	FALSE	FALSE
445	4.202777778	0.779233113	0.049760101	0.729473013	0.828993214	FALSE	FALSE	FALSE
30	0.283333333	0.903693691	0.03775138	0.865942311	0.94144507	FALSE	FALSE	FALSE
380	3.588888889	0.761239655	0.049276646	0.711963009	0.810516302	FALSE	FALSE	FALSE
355	3.352777778	0.754851221	0.049833927	0.705017294	0.804685148	FALSE	FALSE	FALSE
545	5.147222222	0.732121893	0.049863856	0.682258037	0.781985749	FALSE	FALSE	FALSE
532	5.031944444	0.721659396	0.049904766	0.671754629	0.771564162	FALSE	FALSE	FALSE
400	3.777777778	0.7549251	0.049873655	0.705051445	0.804798755	FALSE	FALSE	FALSE
358	3.386111111	0.790463023	0.049425441	0.741037581	0.839888464	FALSE	FALSE	FALSE
30	0.283333333	0.961477476	0	0.961477476	0.961477476	TRUE	FALSE	FALSE
440	4.155555556	0.774018952	0.049883271	0.724135681	0.823902223	FALSE	FALSE	FALSE
385	3.636111111	0.79823059	0.049993691	0.748236898	0.848224281	FALSE	FALSE	FALSE
490	4.627777778	0.707192865	0.049755916	0.657436949	0.75694878	FALSE	FALSE	FALSE
385	3.636111111	0.758081468	0.049634697	0.708446771	0.807716164	FALSE	FALSE	FALSE
320	3.022222222	0.766954029	0.049899606	0.717054423	0.816853635	FALSE	FALSE	FALSE
465	4.391666667	0.753811743	0.049818306	0.703993437	0.803630048	FALSE	FALSE	FALSE
315	2.975	0.774054406	0.049397949	0.724656457	0.823452354	FALSE	FALSE	FALSE
425	4.013888889	0.709815421	0.049875937	0.659939485	0.759691358	FALSE	FALSE	FALSE
130	1.227777778	0.860968793	0.048879389	0.812089403	0.909848182	FALSE	FALSE	FALSE
412	3.898611111	0.733772235	0.049501205	0.68427103	0.78327344	FALSE	FALSE	FALSE
295	2.786111111	0.779023054	0.049871729	0.729151325	0.828894783	FALSE	FALSE	FALSE
430	4.061111111	0.763280114	0.049719714	0.7135604	0.812999828	FALSE	FALSE	FALSE
310	2.927777778	0.797257721	0.049410823	0.747846898	0.846668544	FALSE	FALSE	FALSE
275	2.597222222	0.830191296	0.049584383	0.780606913	0.879775679	FALSE	FALSE	FALSE
494	4.668055556	0.743000057	0.049753788	0.693246268	0.792753845	FALSE	FALSE	FALSE
315	2.975	0.823132513	0.048991072	0.77414144	0.872123585	FALSE	FALSE	FALSE
330	3.116666667	0.789837566	0.049867646	0.73996992	0.839705211	FALSE	FALSE	FALSE
430	4.061111111	0.767851587	0.04976433	0.718087257	0.817615917	FALSE	FALSE	FALSE
465	4.391666667	0.772483912	0.04976223	0.722721682	0.822246141	FALSE	FALSE	FALSE
405	3.825	0.747510558	0.049725831	0.697784727	0.797236389	FALSE	FALSE	FALSE
70	0.661111111	0.900290088	0.046227909	0.854062179	0.946517997	FALSE	FALSE	FALSE
360	3.4	0.747657086	0.049418459	0.698238628	0.797075545	FALSE	FALSE	FALSE
428	4.059722222	0.767845043	0.049770938	0.718074105	0.817615982	FALSE	FALSE	FALSE
355	3.352777778	0.750064394	0.049937826	0.700126568	0.80000222	FALSE	FALSE	FALSE
385	3.636111111	0.800612889	0.049352935	0.751259954	0.849965824	FALSE	FALSE	FALSE
390	3.683333333	0.753460503	0.049955345	0.703505158	0.803415848	FALSE	FALSE	FALSE
360	3.4	0.765822221	0.049739413	0.716082808	0.815561633	FALSE	FALSE	FALSE
355	3.352777778	0.786355149	0.049802468	0.736552682	0.836157617	FALSE	FALSE	FALSE
415	3.919444444	0.75643357	0.049953002	0.706480568	0.806386572	FALSE	FALSE	FALSE
340	3.211111111	0.818640989	0.049306707	0.769334282	0.867947696	FALSE	FALSE	FALSE
270	2.55	0.802462461	0.049593667	0.752868793	0.852056128	FALSE	FALSE	FALSE
295	2.786111111	0.735883764	0.049787535	0.68609623	0.785671299	FALSE	FALSE	FALSE
410	3.872222222	0.745618247	0.049954258	0.695663989	0.795572505	FALSE	FALSE	FALSE
370	3.494444444	0.758571832	0.049981693	0.708590138	0.808553525	FALSE	FALSE	FALSE
405	3.825	0.715272313	0.049455893	0.665816419	0.764728206	FALSE	FALSE	FALSE
210	1.983333333	0.809194647	0.049850006	0.75934464	0.859044653	FALSE	FALSE	FALSE
280	2.644444444	0.731134382	0.049672258	0.681462124	0.780806641	FALSE	FALSE	FALSE
280	2.644444444	0.800475564	0.049293775	0.75118179	0.849769339	FALSE	FALSE	FALSE
368	3.480555556	0.736437836	0.049882075	0.686555761	0.786319911	FALSE	FALSE	FALSE
443	4.188888889	0.715944626	0.049777362	0.666167264	0.765721988	FALSE	FALSE	FALSE
255	2.408333333	0.816632103	0.049461497	0.767170605	0.8660936	FALSE	FALSE	FALSE
377	3.568055556	0.786484343	0.049959546	0.736524797	0.836443888	FALSE	FALSE	FALSE
476	4.505555556	0.777270201	0.048380183	0.728890018	0.825650385	FALSE	FALSE	FALSE
392	3.709722222	0.771034159	0.049744586	0.721289573	0.820778746	FALSE	FALSE	FALSE
410	3.872222222	0.771458844	0.049626207	0.721832637	0.821085051	FALSE	FALSE	FALSE
425	4.013888889	0.741351627	0.049395337	0.69195629	0.790746964	FALSE	FALSE	FALSE
440	4.155555556	0.7818777	0.049523349	0.732354351	0.831401048	FALSE	FALSE	FALSE
325	3.069444444	0.731242265	0.049778066	0.681464199	0.781020331	FALSE	FALSE	FALSE
472	4.465277778	0.751872292	0.049876476	0.701995816	0.801748768	FALSE	FALSE	FALSE
549	5.1875	0.716110714	0.049913748	0.666196966	0.766024462	FALSE	FALSE	FALSE
420	3.966666667	0.771550165	0.049737014	0.721813151	0.821287179	FALSE	FALSE	FALSE
512	4.843055556	0.728635362	0.049956162	0.6786792	0.778591524	FALSE	FALSE	FALSE
450	4.2625	0.769390413	0.049662619	0.719727794	0.819053031	FALSE	FALSE	FALSE
314	2.968055556	0.801224876	0.049961375	0.751263501	0.851186251	FALSE	FALSE	FALSE
325	3.069444444	0.717842256	0.049663566	0.668178689	0.767505822	FALSE	FALSE	FALSE
440	4.168055556	0.780856552	0.04979121	0.731065342	0.830647763	FALSE	FALSE	FALSE
465	4.391666667	0.740014689	0.049881137	0.690133553	0.789895826	FALSE	FALSE	FALSE
446	4.222222222	0.742317051	0.049647624	0.692669427	0.791964675	FALSE	FALSE	FALSE
332	3.143055556	0.749828642	0.04959237	0.700236272	0.799421011	FALSE	FALSE	FALSE
430	4.061111111	0.73895574	0.049789939	0.6891658	0.788745679	FALSE	FALSE	FALSE
445	4.202777778	0.723280986	0.049918647	0.673362338	0.773199633	FALSE	FALSE	FALSE
370	3.494444444	0.743103831	0.04974182	0.693362011	0.792845651	FALSE	FALSE	FALSE
305	2.880555556	0.810487986	0.049802998	0.760684989	0.860290984	FALSE	FALSE	FALSE
410	3.872222222	0.74938141	0.049628107	0.699753303	0.799009517	FALSE	FALSE	FALSE
350	3.305555556	0.779306305	0.049838345	0.72946796	0.829144649	FALSE	FALSE	FALSE
426	4.033333333	0.756155901	0.048654066	0.707501835	0.804809967	FALSE	FALSE	FALSE
464	4.384722222	0.748050029	0.049896496	0.698153533	0.797946525	FALSE	FALSE	FALSE
325	3.069444444	0.701674035	0.049939305	0.65173473	0.75161334	FALSE	FALSE	FALSE
365	3.447222222	0.775276374	0.049490525	0.725785849	0.824766898	FALSE	FALSE	FALSE
440	4.155555556	0.763711951	0.049840123	0.713871828	0.813552074	FALSE	FALSE	FALSE
455	4.297222222	0.757440539	0.049998396	0.707442143	0.807438936	FALSE	FALSE	FALSE
