annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
450	4.25	0.76	0.049630007	0.710369993	0.809630007	FALSE	FALSE	FALSE
621	5.875	0.6928	0.049891345	0.642908655	0.742691345	FALSE	FALSE	FALSE
580	5.477777778	0.736206897	0.049787414	0.686419483	0.78599431	FALSE	FALSE	FALSE
415	3.919444444	0.78313253	0.049472751	0.733659779	0.832605281	FALSE	FALSE	FALSE
461	4.363888889	0.758064516	0.049812219	0.708252297	0.807876735	FALSE	FALSE	FALSE
470	4.438888889	0.721276596	0.049683499	0.671593097	0.770960095	FALSE	FALSE	FALSE
487	4.606944444	0.729591837	0.049747732	0.679844104	0.779339569	FALSE	FALSE	FALSE
510	4.816666667	0.752941176	0.049811837	0.70312934	0.802753013	FALSE	FALSE	FALSE
603	5.7	0.715702479	0.049709805	0.665992674	0.765412285	FALSE	FALSE	FALSE
490	4.627777778	0.781632653	0.049921084	0.731711569	0.831553737	FALSE	FALSE	FALSE
465	4.391666667	0.744086022	0.049553745	0.694532276	0.793639767	FALSE	FALSE	FALSE
495	4.675	0.745454545	0.049648141	0.695806405	0.795102686	FALSE	FALSE	FALSE
453	4.283333333	0.786080586	0.049953732	0.736126854	0.836034318	FALSE	FALSE	FALSE
470	4.438888889	0.787234043	0.049891943	0.7373421	0.837125985	FALSE	FALSE	FALSE
515	4.863888889	0.724271845	0.049897786	0.674374059	0.774169631	FALSE	FALSE	FALSE
426	4.033333333	0.760465116	0.049727434	0.710737683	0.81019255	FALSE	FALSE	FALSE
460	4.344444444	0.791304348	0.049929253	0.741375094	0.841233601	FALSE	FALSE	FALSE
516	4.883333333	0.757051282	0.049765024	0.707286258	0.806816306	FALSE	FALSE	FALSE
559	5.294444444	0.779941003	0.049926664	0.730014339	0.829867666	FALSE	FALSE	FALSE
420	3.966666667	0.742857143	0.04993591	0.692921233	0.792793053	FALSE	FALSE	FALSE
420	3.966666667	0.764285714	0.04975431	0.714531404	0.814040024	FALSE	FALSE	FALSE
435	4.108333333	0.788505747	0.0497904	0.738715347	0.838296147	FALSE	FALSE	FALSE
523	4.944444444	0.759365079	0.049780453	0.709584627	0.809145532	FALSE	FALSE	FALSE
385	3.648611111	0.766239316	0.049937301	0.716302016	0.816176617	FALSE	FALSE	FALSE
488	4.613888889	0.766666667	0.049685573	0.716981094	0.816352239	FALSE	FALSE	FALSE
562	5.315277778	0.742477876	0.049998943	0.692478933	0.79247682	FALSE	FALSE	FALSE
506	4.788888889	0.778431373	0.049731041	0.728700331	0.828162414	FALSE	FALSE	FALSE
465	4.391666667	0.774193548	0.049864528	0.724329021	0.824058076	FALSE	FALSE	FALSE
475	4.486111111	0.738947368	0.049803024	0.689144344	0.788750393	FALSE	FALSE	FALSE
515	4.863888889	0.745631068	0.049626701	0.696004367	0.795257769	FALSE	FALSE	FALSE
440	4.155555556	0.804545455	0.049473897	0.755071558	0.854019352	FALSE	FALSE	FALSE
421	3.986111111	0.745882353	0.049699888	0.696182465	0.795582241	FALSE	FALSE	FALSE
360	3.4	0.763888889	0.049843828	0.714045061	0.813732717	FALSE	FALSE	FALSE
470	4.438888889	0.765957447	0.04983194	0.716125507	0.815789387	FALSE	FALSE	FALSE
455	4.297222222	0.740659341	0.04995098	0.690708361	0.790610321	FALSE	FALSE	FALSE
530	5.005555556	0.767924528	0.049888053	0.718036476	0.817812581	FALSE	FALSE	FALSE
571	5.402777778	0.735652174	0.049976293	0.685675881	0.785628466	FALSE	FALSE	FALSE
470	4.438888889	0.725531915	0.049953744	0.67557817	0.775485659	FALSE	FALSE	FALSE
465	4.391666667	0.784946237	0.0498684	0.735077837	0.834814637	FALSE	FALSE	FALSE
382	3.615277778	0.805194805	0.049667216	0.755527589	0.854862021	FALSE	FALSE	FALSE
495	4.675	0.767676768	0.049930892	0.717745876	0.81760766	FALSE	FALSE	FALSE
515	4.863888889	0.747572816	0.049852233	0.697720583	0.797425048	FALSE	FALSE	FALSE
505	4.769444444	0.762376238	0.049862911	0.712513326	0.812239149	FALSE	FALSE	FALSE
584	5.518055556	0.75042735	0.049886361	0.700540989	0.800313712	FALSE	FALSE	FALSE
479	4.526388889	0.743229167	0.049822158	0.693407008	0.793051325	FALSE	FALSE	FALSE
400	3.777777778	0.8225	0.049795835	0.772704165	0.872295835	FALSE	FALSE	FALSE
505	4.769444444	0.695049505	0.049826648	0.645222857	0.744876152	FALSE	FALSE	FALSE
525	4.958333333	0.748571429	0.049772974	0.698798454	0.798344403	FALSE	FALSE	FALSE
430	4.061111111	0.790697674	0.049764284	0.74093339	0.840461959	FALSE	FALSE	FALSE
496	4.694444444	0.768	0.049746111	0.718253889	0.817746111	FALSE	FALSE	FALSE
440	4.155555556	0.768181818	0.049841328	0.71834049	0.818023146	FALSE	FALSE	FALSE
475	4.486111111	0.804210526	0.049770282	0.754440244	0.853980808	FALSE	FALSE	FALSE
480	4.533333333	0.764583333	0.049595423	0.71498791	0.814178757	FALSE	FALSE	FALSE
505	4.769444444	0.75049505	0.049769176	0.700725874	0.800264225	FALSE	FALSE	FALSE
552	5.220833333	0.768918919	0.049792143	0.719126776	0.818711062	FALSE	FALSE	FALSE
505	4.769444444	0.730693069	0.049778255	0.680914815	0.780471324	FALSE	FALSE	FALSE
505	4.769444444	0.744554455	0.049681327	0.694873128	0.794235783	FALSE	FALSE	FALSE
571	5.402777778	0.76	0.049659187	0.710340813	0.809659187	FALSE	FALSE	FALSE
380	3.588888889	0.818421053	0.049896661	0.768524392	0.868317714	FALSE	FALSE	FALSE
540	5.1	0.742592593	0.049745027	0.692847566	0.792337619	FALSE	FALSE	FALSE
395	3.730555556	0.802531646	0.049682915	0.75284873	0.852214561	FALSE	FALSE	FALSE
595	5.619444444	0.72605042	0.049920022	0.676130398	0.775970442	FALSE	FALSE	FALSE
406	3.844444444	0.77804878	0.049987918	0.728060863	0.828036698	FALSE	FALSE	FALSE
520	4.911111111	0.763461538	0.049891739	0.713569799	0.813353278	FALSE	FALSE	FALSE
503	4.755555556	0.79339934	0.049696148	0.743703192	0.843095488	FALSE	FALSE	FALSE
520	4.911111111	0.738461538	0.049693681	0.688767857	0.78815522	FALSE	FALSE	FALSE
525	4.958333333	0.737142857	0.049853683	0.687289174	0.78699654	FALSE	FALSE	FALSE
490	4.627777778	0.748979592	0.04999372	0.698985872	0.798973312	FALSE	FALSE	FALSE
490	4.627777778	0.716326531	0.049542989	0.666783542	0.765869519	FALSE	FALSE	FALSE
435	4.108333333	0.783908046	0.049733475	0.734174571	0.833641521	FALSE	FALSE	FALSE
360	3.4	0.794444444	0.049629788	0.744814656	0.844074233	FALSE	FALSE	FALSE
430	4.061111111	0.774418605	0.049717602	0.724701002	0.824136207	FALSE	FALSE	FALSE
515	4.863888889	0.768932039	0.049792381	0.719139658	0.81872442	FALSE	FALSE	FALSE
551	5.213888889	0.743243243	0.049830552	0.693412692	0.793073795	FALSE	FALSE	FALSE
460	4.344444444	0.747826087	0.049913268	0.697912819	0.797739355	FALSE	FALSE	FALSE
464	4.384722222	0.780645161	0.049806404	0.730838758	0.830451565	FALSE	FALSE	FALSE
515	4.863888889	0.786407767	0.049940454	0.736467313	0.836348221	FALSE	FALSE	FALSE
519	4.904166667	0.740865385	0.04973937	0.691126014	0.790604755	FALSE	FALSE	FALSE
481	4.552777778	0.797938144	0.049914905	0.748023239	0.84785305	FALSE	FALSE	FALSE
495	4.675	0.727272727	0.049850728	0.677421999	0.777123455	FALSE	FALSE	FALSE
503	4.755555556	0.718151815	0.049572732	0.668579083	0.767724548	FALSE	FALSE	FALSE
475	4.486111111	0.736842105	0.049868445	0.686973661	0.78671055	FALSE	FALSE	FALSE
540	5.1	0.764814815	0.049685591	0.715129224	0.814500406	FALSE	FALSE	FALSE
580	5.477777778	0.736206897	0.049787414	0.686419483	0.78599431	FALSE	FALSE	FALSE
580	5.477777778	0.743103448	0.049835257	0.693268191	0.792938706	FALSE	FALSE	FALSE
549	5.2	0.720720721	0.049987862	0.670732859	0.770708583	FALSE	FALSE	FALSE
425	4.013888889	0.792941176	0.049725353	0.743215823	0.84266653	FALSE	FALSE	FALSE
405	3.825	0.777777778	0.049660062	0.728117716	0.827437839	FALSE	FALSE	FALSE
526	4.977777778	0.756603774	0.049851489	0.706752284	0.806455263	FALSE	FALSE	FALSE
493	4.661111111	0.736700337	0.049790074	0.686910263	0.786490411	FALSE	FALSE	FALSE
418	3.952777778	0.785714286	0.049726617	0.735987669	0.835440903	FALSE	FALSE	FALSE
484	4.573611111	0.789690722	0.049873991	0.73981673	0.839564713	FALSE	FALSE	FALSE
552	5.220833333	0.785585586	0.04984477	0.735740816	0.835430355	FALSE	FALSE	FALSE
365	3.447222222	0.797260274	0.049845376	0.747414898	0.84710565	FALSE	FALSE	FALSE
450	4.25	0.748888889	0.049769391	0.699119498	0.79865828	FALSE	FALSE	FALSE
480	4.533333333	0.76875	0.049708534	0.719041466	0.818458534	FALSE	FALSE	FALSE
385	3.636111111	0.81038961	0.049626004	0.760763606	0.860015615	FALSE	FALSE	FALSE
435	4.108333333	0.737931034	0.049771432	0.688159602	0.787702467	FALSE	FALSE	FALSE
530	5.005555556	0.730188679	0.049861939	0.68032674	0.780050618	FALSE	FALSE	FALSE
465	4.391666667	0.759139785	0.049984436	0.709155349	0.809124221	FALSE	FALSE	FALSE
430	4.061111111	0.818604651	0.049646266	0.768958385	0.868250917	FALSE	FALSE	FALSE
490	4.627777778	0.783673469	0.049787089	0.73388638	0.833460559	FALSE	FALSE	FALSE
495	4.675	0.785858586	0.049786504	0.736072082	0.83564509	FALSE	FALSE	FALSE
467	4.418055556	0.769503546	0.049474807	0.720028739	0.818978353	FALSE	FALSE	FALSE
485	4.580555556	0.734020619	0.049658641	0.684361978	0.783679259	FALSE	FALSE	FALSE
450	4.25	0.744444444	0.049563394	0.69488105	0.794007839	FALSE	FALSE	FALSE
473	4.472222222	0.735438596	0.049525446	0.68591315	0.784964043	FALSE	FALSE	FALSE
478	4.519444444	0.791666667	0.049907619	0.741759048	0.841574286	FALSE	FALSE	FALSE
459	4.3375	0.790217391	0.049782699	0.740434693	0.84000009	FALSE	FALSE	FALSE
512	4.843055556	0.761165049	0.049880709	0.71128434	0.811045757	FALSE	FALSE	FALSE
465	4.391666667	0.737634409	0.049775376	0.687859032	0.787409785	FALSE	FALSE	FALSE
565	5.336111111	0.750442478	0.049896765	0.700545713	0.800339243	FALSE	FALSE	FALSE
520	4.911111111	0.738461538	0.049693681	0.688767857	0.78815522	FALSE	FALSE	FALSE
565	5.336111111	0.716814159	0.049944116	0.666870043	0.766758275	FALSE	FALSE	FALSE
365	3.447222222	0.808219178	0.049813228	0.75840595	0.858032406	FALSE	FALSE	FALSE
395	3.730555556	0.784810127	0.049822492	0.734987635	0.834632619	FALSE	FALSE	FALSE
550	5.194444444	0.761818182	0.049732114	0.712086068	0.811550296	FALSE	FALSE	FALSE
575	5.430555556	0.735652174	0.049976293	0.685675881	0.785628466	FALSE	FALSE	FALSE
519	4.904166667	0.775480769	0.049959338	0.725521431	0.825440108	FALSE	FALSE	FALSE
443	4.188888889	0.762546816	0.049979944	0.712566872	0.812526761	FALSE	FALSE	FALSE
420	3.966666667	0.792857143	0.04988071	0.742976432	0.842737853	FALSE	FALSE	FALSE
365	3.447222222	0.761643836	0.049941695	0.71170214	0.811585531	FALSE	FALSE	FALSE
511	4.836111111	0.77961165	0.04988996	0.729721691	0.82950161	FALSE	FALSE	FALSE
517	4.890277778	0.75	0.049887592	0.700112408	0.799887592	FALSE	FALSE	FALSE
475	4.486111111	0.770526316	0.049766643	0.720759673	0.820292958	FALSE	FALSE	FALSE
478	4.519444444	0.727083333	0.04963787	0.677445463	0.776721203	FALSE	FALSE	FALSE
465	4.391666667	0.772043011	0.049635514	0.722407497	0.821678525	FALSE	FALSE	FALSE
540	5.1	0.735185185	0.049685591	0.685499594	0.784870776	FALSE	FALSE	FALSE
569	5.388888889	0.71942029	0.049703636	0.669716654	0.769123925	FALSE	FALSE	FALSE
475	4.486111111	0.797894737	0.049948286	0.74794645	0.847843023	FALSE	FALSE	FALSE
535	5.052777778	0.758878505	0.049856714	0.709021791	0.808735218	FALSE	FALSE	FALSE
510	4.816666667	0.762745098	0.049977425	0.712767673	0.812722523	FALSE	FALSE	FALSE
525	4.958333333	0.725714286	0.049837551	0.675876734	0.775551837	FALSE	FALSE	FALSE
426	4.033333333	0.76744186	0.049744634	0.717697226	0.817186495	FALSE	FALSE	FALSE
500	4.722222222	0.716	0.049889427	0.666110573	0.765889427	FALSE	FALSE	FALSE
510	4.816666667	0.698039216	0.049981813	0.648057402	0.748021029	FALSE	FALSE	FALSE
463	4.377777778	0.723297491	0.049740879	0.673556612	0.77303837	FALSE	FALSE	FALSE
500	4.722222222	0.752	0.049870757	0.702129243	0.801870757	FALSE	FALSE	FALSE
555	5.241666667	0.753153153	0.049906145	0.703247008	0.803059298	FALSE	FALSE	FALSE
516	4.883333333	0.748076923	0.049958044	0.698118879	0.798034967	FALSE	FALSE	FALSE
565	5.336111111	0.738053097	0.049786825	0.688266273	0.787839922	FALSE	FALSE	FALSE
535	5.052777778	0.74953271	0.049681175	0.699851535	0.799213885	FALSE	FALSE	FALSE
555	5.241666667	0.753153153	0.049906145	0.703247008	0.803059298	FALSE	FALSE	FALSE
512	4.843055556	0.740776699	0.049895652	0.690881047	0.790672351	FALSE	FALSE	FALSE
420	3.966666667	0.778571429	0.049690989	0.72888044	0.828262418	FALSE	FALSE	FALSE
511	4.836111111	0.750970874	0.049954847	0.701016027	0.800925721	FALSE	FALSE	FALSE
600	5.666666667	0.743333333	0.049787899	0.693545434	0.793121233	FALSE	FALSE	FALSE
375	3.541666667	0.776	0.049337306	0.726662694	0.825337306	FALSE	FALSE	FALSE
345	3.258333333	0.820289855	0.049984169	0.770305686	0.870274024	FALSE	FALSE	FALSE
425	4.013888889	0.804705882	0.049953954	0.754751929	0.854659836	FALSE	FALSE	FALSE
510	4.816666667	0.737254902	0.049753089	0.687501813	0.787007991	FALSE	FALSE	FALSE
485	4.580555556	0.764948454	0.049754467	0.715193987	0.814702921	FALSE	FALSE	FALSE
555	5.241666667	0.754954955	0.049584792	0.705370163	0.804539747	FALSE	FALSE	FALSE
