annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
386	6.743055556	0.492227979	0.049938473	0.442289506	0.542166452	FALSE	FALSE	FALSE
386	6.843055556	0.489637306	0.049933779	0.439703526	0.539571085	FALSE	FALSE	FALSE
386	6.980555556	0.502590674	0.049943837	0.452646837	0.55253451	FALSE	FALSE	FALSE
381	6.645833333	0.553805774	0.049980087	0.503825688	0.603785861	FALSE	FALSE	FALSE
384	6.716666667	0.53125	0.049976843	0.481273157	0.581226843	FALSE	FALSE	FALSE
381	6.683333333	0.446194226	0.049980087	0.396214139	0.496174312	FALSE	FALSE	FALSE
386	6.705555556	0.492227979	0.049938473	0.442289506	0.542166452	FALSE	FALSE	FALSE
386	6.755555556	0.497409326	0.049943837	0.44746549	0.547353163	FALSE	FALSE	FALSE
385	6.811111111	0.516883117	0.049980979	0.466902138	0.566864096	FALSE	FALSE	FALSE
386	6.805555556	0.507772021	0.049938473	0.457833548	0.557710494	FALSE	FALSE	FALSE
385	6.773611111	0.475324675	0.049948561	0.425376115	0.525273236	FALSE	FALSE	FALSE
385	6.773611111	0.483116883	0.049980979	0.433135904	0.533097862	FALSE	FALSE	FALSE
385	6.861111111	0.480519481	0.049971526	0.430547955	0.530491006	FALSE	FALSE	FALSE
382	6.602777778	0.452879581	0.049982553	0.402897028	0.502862134	FALSE	FALSE	FALSE
386	6.705555556	0.510362694	0.049933779	0.460428915	0.560296474	FALSE	FALSE	FALSE
386	6.793055556	0.507772021	0.049938473	0.457833548	0.557710494	FALSE	FALSE	FALSE
383	6.797222222	0.540469974	0.049975729	0.490494244	0.590445703	FALSE	FALSE	FALSE
384	6.766666667	0.46875	0.049976843	0.418773157	0.518726843	FALSE	FALSE	FALSE
384	6.741666667	0.471354167	0.049992492	0.421361675	0.521346659	FALSE	FALSE	FALSE
383	6.722222222	0.540469974	0.049975729	0.490494244	0.590445703	FALSE	FALSE	FALSE
386	6.780555556	0.502590674	0.049943837	0.452646837	0.55253451	FALSE	FALSE	FALSE
386	6.780555556	0.505181347	0.049941825	0.455239522	0.555123172	FALSE	FALSE	FALSE
385	6.723611111	0.477922078	0.04996072	0.427961358	0.527882798	FALSE	FALSE	FALSE
385	6.848611111	0.475324675	0.049948561	0.425376115	0.525273236	FALSE	FALSE	FALSE
384	6.779166667	0.533854167	0.049959827	0.48389434	0.583813994	FALSE	FALSE	FALSE
386	6.780555556	0.507772021	0.049938473	0.457833548	0.557710494	FALSE	FALSE	FALSE
385	6.848611111	0.488311688	0.049995831	0.438315858	0.538307519	FALSE	FALSE	FALSE
385	6.786111111	0.516883117	0.049980979	0.466902138	0.566864096	FALSE	FALSE	FALSE
385	6.761111111	0.519480519	0.049971526	0.469508994	0.569452045	FALSE	FALSE	FALSE
382	6.802777778	0.547120419	0.049982553	0.497137866	0.597102972	FALSE	FALSE	FALSE
386	6.718055556	0.502590674	0.049943837	0.452646837	0.55253451	FALSE	FALSE	FALSE
385	6.723611111	0.522077922	0.04996072	0.472117202	0.572038642	FALSE	FALSE	FALSE
386	6.955555556	0.510362694	0.049933779	0.460428915	0.560296474	FALSE	FALSE	FALSE
386	6.780555556	0.492227979	0.049938473	0.442289506	0.542166452	FALSE	FALSE	FALSE
385	6.786111111	0.485714286	0.04998908	0.435725205	0.535703366	FALSE	FALSE	FALSE
384	6.754166667	0.528645833	0.049992492	0.478653341	0.578638325	FALSE	FALSE	FALSE
386	6.680555556	0.507772021	0.049938473	0.457833548	0.557710494	FALSE	FALSE	FALSE
386	6.880555556	0.507772021	0.049938473	0.457833548	0.557710494	FALSE	FALSE	FALSE
385	6.873611111	0.514285714	0.04998908	0.464296634	0.564274795	FALSE	FALSE	FALSE
383	6.759722222	0.462140992	0.049996302	0.412144691	0.512137294	FALSE	FALSE	FALSE
386	6.843055556	0.502590674	0.049943837	0.452646837	0.55253451	FALSE	FALSE	FALSE
383	6.822222222	0.462140992	0.049996302	0.412144691	0.512137294	FALSE	FALSE	FALSE
385	6.886111111	0.483116883	0.049980979	0.433135904	0.533097862	FALSE	FALSE	FALSE
383	6.722222222	0.540469974	0.049975729	0.490494244	0.590445703	FALSE	FALSE	FALSE
383	6.647222222	0.459530026	0.049975729	0.409554297	0.509505756	FALSE	FALSE	FALSE
