annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
325	3.069444444	0.532317752	0.04991841	0.482399342	0.582236162	FALSE	FALSE	FALSE
295	2.786111111	0.518931372	0.049695813	0.46923556	0.568627185	FALSE	FALSE	FALSE
375	3.541666667	0.49664024	0.049897081	0.446743158	0.546537321	FALSE	FALSE	FALSE
395	3.730555556	0.523871661	0.049925664	0.473945997	0.573797325	FALSE	FALSE	FALSE
358	3.386111111	0.447272796	0.048690763	0.398582033	0.49596356	FALSE	FALSE	FALSE
415	3.919444444	0.512770429	0.049389062	0.463381367	0.562159491	FALSE	FALSE	FALSE
448	4.236111111	0.487963208	0.049465467	0.438497741	0.537428675	FALSE	FALSE	FALSE
420	3.966666667	0.47648351	0.049635627	0.426847883	0.526119137	FALSE	FALSE	FALSE
280	2.644444444	0.472092177	0.049640196	0.422451981	0.521732374	FALSE	FALSE	FALSE
418	3.952777778	0.508703921	0.049995229	0.458708692	0.55869915	FALSE	FALSE	FALSE
305	2.880555556	0.534037789	0.049798158	0.484239631	0.583835947	FALSE	FALSE	FALSE
355	3.352777778	0.495017564	0.04949635	0.445521213	0.544513914	FALSE	FALSE	FALSE
435	4.108333333	0.455783879	0.049739895	0.406043985	0.505523774	FALSE	FALSE	FALSE
385	3.636111111	0.480335598	0.049380976	0.430954621	0.529716574	FALSE	FALSE	FALSE
480	4.533333333	0.476808038	0.0497344	0.427073638	0.526542439	FALSE	FALSE	FALSE
452	4.276388889	0.525438233	0.049796943	0.47564129	0.575235175	FALSE	FALSE	FALSE
388	3.669444444	0.460859223	0.049762269	0.411096954	0.510621491	FALSE	FALSE	FALSE
415	3.919444444	0.496375017	0.04996719	0.446407827	0.546342207	FALSE	FALSE	FALSE
335	3.163888889	0.514564426	0.049886638	0.464677789	0.564451064	FALSE	FALSE	FALSE
375	3.541666667	0.499235956	0.049831174	0.449404782	0.54906713	FALSE	FALSE	FALSE
395	3.730555556	0.45943306	0.049741801	0.40969126	0.509174861	FALSE	FALSE	FALSE
240	2.266666667	0.455926335	0.049846738	0.406079597	0.505773072	FALSE	FALSE	FALSE
355	3.352777778	0.498532023	0.04962324	0.448908783	0.548155263	FALSE	FALSE	FALSE
425	4.013888889	0.520174307	0.049983892	0.470190414	0.570158199	FALSE	FALSE	FALSE
405	3.825	0.510700701	0.049856386	0.460844315	0.560557087	FALSE	FALSE	FALSE
360	3.4	0.531294705	0.049875116	0.481419589	0.581169821	FALSE	FALSE	FALSE
450	4.25	0.494959155	0.049836866	0.445122289	0.544796021	FALSE	FALSE	FALSE
352	3.331944444	0.500030324	0.049666971	0.450363353	0.549697295	FALSE	FALSE	FALSE
370	3.494444444	0.503464295	0.049849786	0.453614509	0.553314081	FALSE	FALSE	FALSE
350	3.305555556	0.514863664	0.049646788	0.465216875	0.564510452	FALSE	FALSE	FALSE
395	3.730555556	0.491288921	0.049962364	0.441326557	0.541251286	FALSE	FALSE	FALSE
460	4.344444444	0.512421344	0.049543053	0.462878291	0.561964397	FALSE	FALSE	FALSE
389	3.676388889	0.462594881	0.04997607	0.412618811	0.51257095	FALSE	FALSE	FALSE
370	3.494444444	0.536742457	0.049992261	0.486750196	0.586734717	FALSE	FALSE	FALSE
460	4.344444444	0.505649045	0.049657551	0.455991494	0.555306596	FALSE	FALSE	FALSE
385	3.636111111	0.494942692	0.049692338	0.445250354	0.54463503	FALSE	FALSE	FALSE
390	3.683333333	0.480674274	0.049423707	0.431250567	0.530097981	FALSE	FALSE	FALSE
295	2.786111111	0.47175727	0.0495086	0.42224867	0.521265869	FALSE	FALSE	FALSE
365	3.447222222	0.501280238	0.049629951	0.451650288	0.550910189	FALSE	FALSE	FALSE
433	4.106944444	0.509118072	0.049956953	0.459161119	0.559075025	FALSE	FALSE	FALSE
495	4.675	0.499677455	0.049549354	0.450128101	0.549226808	FALSE	FALSE	FALSE
430	4.061111111	0.487145236	0.049550596	0.437594641	0.536695832	FALSE	FALSE	FALSE
465	4.391666667	0.505922476	0.049914646	0.456007831	0.555837122	FALSE	FALSE	FALSE
445	4.202777778	0.494451363	0.049556902	0.444894461	0.544008266	FALSE	FALSE	FALSE
405	3.825	0.516660375	0.049374957	0.467285418	0.566035331	FALSE	FALSE	FALSE
385	3.636111111	0.493792302	0.049926336	0.443865966	0.543718638	FALSE	FALSE	FALSE
380	3.588888889	0.496806991	0.049984354	0.446822637	0.546791345	FALSE	FALSE	FALSE
420	3.966666667	0.504344744	0.049632586	0.454712158	0.553977331	FALSE	FALSE	FALSE
370	3.494444444	0.507826809	0.04971761	0.458109199	0.557544419	FALSE	FALSE	FALSE
355	3.352777778	0.479869228	0.0494462	0.430423028	0.529315428	FALSE	FALSE	FALSE
340	3.211111111	0.514417632	0.049992454	0.464425177	0.564410086	FALSE	FALSE	FALSE
415	3.919444444	0.483683517	0.049757941	0.433925576	0.533441458	FALSE	FALSE	FALSE
315	2.975	0.487378195	0.04942126	0.437956935	0.536799455	FALSE	FALSE	FALSE
431	4.080555556	0.507662555	0.049946497	0.457716058	0.557609052	FALSE	FALSE	FALSE
350	3.305555556	0.449537101	0.049322839	0.400214263	0.49885994	FALSE	FALSE	FALSE
340	3.211111111	0.508848838	0.048777462	0.460071376	0.5576263	FALSE	FALSE	FALSE
397	3.756944444	0.463278687	0.049929955	0.413348732	0.513208642	FALSE	FALSE	FALSE
425	4.026388889	0.474593067	0.049752502	0.424840565	0.524345569	FALSE	FALSE	FALSE
348	3.291666667	0.460606123	0.049425893	0.41118023	0.510032016	FALSE	FALSE	FALSE
425	4.013888889	0.533866732	0.049499419	0.484367313	0.583366152	FALSE	FALSE	FALSE
430	4.061111111	0.511589933	0.04949447	0.462095463	0.561084402	FALSE	FALSE	FALSE
380	3.588888889	0.544492118	0.049928345	0.494563772	0.594420463	FALSE	FALSE	FALSE
472	4.465277778	0.497440177	0.049725763	0.447714414	0.54716594	FALSE	FALSE	FALSE
410	3.872222222	0.474643743	0.049836729	0.424807014	0.524480472	FALSE	FALSE	FALSE
419	3.959722222	0.519845416	0.049878551	0.469966865	0.569723968	FALSE	FALSE	FALSE
260	2.455555556	0.54430961	0.049872291	0.494437319	0.594181901	FALSE	FALSE	FALSE
457	4.323611111	0.538153053	0.049747488	0.488405565	0.587900541	FALSE	FALSE	FALSE
425	4.013888889	0.494493672	0.049822391	0.444671281	0.544316064	FALSE	FALSE	FALSE
355	3.365277778	0.455543276	0.049844688	0.405698588	0.505387964	FALSE	FALSE	FALSE
399	3.770833333	0.510276502	0.049508396	0.460768106	0.559784898	FALSE	FALSE	FALSE
520	4.923611111	0.476699855	0.04975094	0.426948915	0.526450795	FALSE	FALSE	FALSE
425	4.013888889	0.511974821	0.049509	0.462465821	0.561483821	FALSE	FALSE	FALSE
406	3.844444444	0.503416633	0.04965408	0.453762553	0.553070713	FALSE	FALSE	FALSE
345	3.258333333	0.479395663	0.049233509	0.430162153	0.528629172	FALSE	FALSE	FALSE
307	2.906944444	0.541868109	0.049655398	0.492212711	0.591523506	FALSE	FALSE	FALSE
345	3.258333333	0.492990546	0.049683313	0.443307233	0.542673859	FALSE	FALSE	FALSE
330	3.116666667	0.460905906	0.049977863	0.410928043	0.510883769	FALSE	FALSE	FALSE
375	3.541666667	0.516685543	0.04964228	0.467043263	0.566327823	FALSE	FALSE	FALSE
420	3.966666667	0.466457737	0.049757244	0.416700493	0.51621498	FALSE	FALSE	FALSE
345	3.258333333	0.498424413	0.049794935	0.448629478	0.548219348	FALSE	FALSE	FALSE
446	4.222222222	0.517223724	0.049804657	0.467419067	0.567028381	FALSE	FALSE	FALSE
405	3.825	0.481875423	0.049023272	0.432852151	0.530898696	FALSE	FALSE	FALSE
339	3.204166667	0.550954458	0.049766526	0.501187932	0.600720985	FALSE	FALSE	FALSE
450	4.25	0.523912451	0.049270798	0.474641653	0.573183249	FALSE	FALSE	FALSE
410	3.872222222	0.517102179	0.0495849	0.467517279	0.566687079	FALSE	FALSE	FALSE
350	3.305555556	0.504217816	0.049980791	0.454237025	0.554198607	FALSE	FALSE	FALSE
470	4.438888889	0.494092287	0.049935282	0.444157006	0.544027569	FALSE	FALSE	FALSE
365	3.447222222	0.460846585	0.04682564	0.414020945	0.507672225	FALSE	FALSE	FALSE
308	2.913888889	0.472474582	0.049768263	0.422706319	0.522242845	FALSE	FALSE	FALSE
370	3.494444444	0.522148358	0.049493822	0.472654536	0.57164218	FALSE	FALSE	FALSE
420	3.966666667	0.509586586	0.049832172	0.459754414	0.559418758	FALSE	FALSE	FALSE
385	3.636111111	0.50625506	0.049632876	0.456622184	0.555887936	FALSE	FALSE	FALSE
397	3.756944444	0.493536764	0.04983052	0.443706244	0.543367284	FALSE	FALSE	FALSE
405	3.825	0.482017597	0.049618092	0.432399505	0.531635688	FALSE	FALSE	FALSE
495	4.675	0.467958301	0.049245059	0.418713243	0.51720336	FALSE	FALSE	FALSE
530	5.005555556	0.515269421	0.049581724	0.465687697	0.564851144	FALSE	FALSE	FALSE
394	3.723611111	0.50361026	0.049118712	0.454491548	0.552728972	FALSE	FALSE	FALSE
390	3.683333333	0.487333108	0.049949013	0.437384095	0.537282121	FALSE	FALSE	FALSE
395	3.730555556	0.487521163	0.049450145	0.438071018	0.536971308	FALSE	FALSE	FALSE
305	2.880555556	0.494335027	0.049723608	0.444611419	0.544058635	FALSE	FALSE	FALSE
438	4.154166667	0.519727475	0.049878333	0.469849142	0.569605808	FALSE	FALSE	FALSE
425	4.013888889	0.518407525	0.04964943	0.468758094	0.568056955	FALSE	FALSE	FALSE
340	3.223611111	0.469815131	0.049703935	0.420111196	0.519519065	FALSE	FALSE	FALSE
375	3.541666667	0.494595568	0.049676922	0.444918646	0.544272489	FALSE	FALSE	FALSE
430	4.061111111	0.546222954	0.04964712	0.496575834	0.595870073	FALSE	FALSE	FALSE
363	3.433333333	0.529765158	0.049474586	0.480290573	0.579239744	FALSE	FALSE	FALSE
440	4.155555556	0.566358859	0.049592151	0.516766708	0.61595101	FALSE	FALSE	FALSE
410	3.872222222	0.493394677	0.049759201	0.443635476	0.543153878	FALSE	FALSE	FALSE
420	3.966666667	0.471559924	0.049658232	0.421901692	0.521218155	FALSE	FALSE	FALSE
370	3.494444444	0.517937676	0.04961288	0.468324796	0.567550556	FALSE	FALSE	FALSE
500	4.722222222	0.489455385	0.04965827	0.439797115	0.539113655	FALSE	FALSE	FALSE
440	4.155555556	0.506457987	0.049972841	0.456485145	0.556430828	FALSE	FALSE	FALSE
364	3.440277778	0.490391423	0.049578199	0.440813223	0.539969622	FALSE	FALSE	FALSE
311	2.947222222	0.51816194	0.049937586	0.468224354	0.568099526	FALSE	FALSE	FALSE
320	3.022222222	0.547999951	0.04997849	0.498021462	0.597978441	FALSE	FALSE	FALSE
440	4.155555556	0.522988577	0.049816368	0.473172209	0.572804945	FALSE	FALSE	FALSE
315	2.975	0.501215357	0.04951003	0.451705327	0.550725387	FALSE	FALSE	FALSE
30	0.283333333	0.477045047	0	0.477045047	0.477045047	TRUE	FALSE	FALSE
