annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
415	3.919444444	0.498795181	0.049549666	0.449245515	0.548344847	FALSE	FALSE	FALSE
406	3.844444444	0.490243902	0.049591272	0.44065263	0.539835174	FALSE	FALSE	FALSE
340	3.211111111	0.488235294	0.04953893	0.438696365	0.537774224	FALSE	FALSE	FALSE
390	3.683333333	0.497435897	0.049941223	0.447494674	0.547377121	FALSE	FALSE	FALSE
365	3.447222222	0.520547945	0.049989785	0.47055816	0.570537731	FALSE	FALSE	FALSE
339	3.204166667	0.471323529	0.049589902	0.421733628	0.520913431	FALSE	FALSE	FALSE
372	3.520833333	0.477333333	0.049858306	0.427475027	0.527191639	FALSE	FALSE	FALSE
455	4.297222222	0.512087912	0.04984355	0.462244362	0.561931462	FALSE	FALSE	FALSE
355	3.352777778	0.512676056	0.049566386	0.46310967	0.562242443	FALSE	FALSE	FALSE
387	3.6625	0.491025641	0.049840142	0.441185499	0.540865783	FALSE	FALSE	FALSE
390	3.683333333	0.484615385	0.049826155	0.43478923	0.53444154	FALSE	FALSE	FALSE
388	3.669444444	0.488888889	0.049482291	0.439406598	0.538371179	FALSE	FALSE	FALSE
400	3.777777778	0.525	0.049981635	0.475018365	0.574981635	FALSE	FALSE	FALSE
295	2.786111111	0.505084746	0.049565426	0.45551932	0.554650172	FALSE	FALSE	FALSE
360	3.4	0.516666667	0.049495016	0.467171651	0.566161683	FALSE	FALSE	FALSE
510	4.816666667	0.494117647	0.049970109	0.444147538	0.544087757	FALSE	FALSE	FALSE
353	3.338888889	0.499530516	0.049793307	0.449737209	0.549323824	FALSE	FALSE	FALSE
530	5.005555556	0.490566038	0.049886747	0.44067929	0.540452785	FALSE	FALSE	FALSE
400	3.777777778	0.5	0.049798887	0.450201113	0.549798887	FALSE	FALSE	FALSE
346	3.277777778	0.491428571	0.049612925	0.441815647	0.541041496	FALSE	FALSE	FALSE
315	2.975	0.46031746	0.049889637	0.410427824	0.510207097	FALSE	FALSE	FALSE
415	3.919444444	0.493975904	0.049533194	0.444442709	0.543509098	FALSE	FALSE	FALSE
407	3.863888889	0.526104418	0.049784555	0.476319863	0.575888972	FALSE	FALSE	FALSE
393	3.716666667	0.530801688	0.049515329	0.481286359	0.580317016	FALSE	FALSE	FALSE
370	3.494444444	0.481081081	0.049985221	0.43109586	0.531066302	FALSE	FALSE	FALSE
400	3.777777778	0.525	0.049981635	0.475018365	0.574981635	FALSE	FALSE	FALSE
30	0.283333333	0.6	0	0.6	0.6	TRUE	FALSE	FALSE
430	4.061111111	0.497674419	0.049695474	0.447978944	0.547369893	FALSE	FALSE	FALSE
325	3.069444444	0.504615385	0.049455076	0.455160309	0.554070461	FALSE	FALSE	FALSE
393	3.716666667	0.493670886	0.04985416	0.443816727	0.543525046	FALSE	FALSE	FALSE
468	4.4375	0.49754386	0.049808681	0.447735178	0.547352541	FALSE	FALSE	FALSE
435	4.108333333	0.485057471	0.049904055	0.435153416	0.534961527	FALSE	FALSE	FALSE
340	3.211111111	0.455882353	0.049853307	0.406029046	0.50573566	FALSE	FALSE	FALSE
498	4.720833333	0.508910891	0.049805481	0.45910541	0.558716372	FALSE	FALSE	FALSE
355	3.352777778	0.507042254	0.049627845	0.457414408	0.556670099	FALSE	FALSE	FALSE
395	3.730555556	0.511392405	0.049809819	0.461582586	0.561202224	FALSE	FALSE	FALSE
385	3.636111111	0.503896104	0.0494746	0.454421504	0.553370704	FALSE	FALSE	FALSE
310	2.927777778	0.467741935	0.049326915	0.418415021	0.51706885	FALSE	FALSE	FALSE
445	4.202777778	0.46741573	0.049697357	0.417718373	0.517113087	FALSE	FALSE	FALSE
386	3.655555556	0.479487179	0.049733909	0.429753271	0.529221088	FALSE	FALSE	FALSE
340	3.211111111	0.491176471	0.049573959	0.441602512	0.540750429	FALSE	FALSE	FALSE
305	2.880555556	0.491803279	0.049831722	0.441971557	0.541635	FALSE	FALSE	FALSE
380	3.588888889	0.484210526	0.049942847	0.43426768	0.534153373	FALSE	FALSE	FALSE
415	3.919444444	0.501204819	0.049549666	0.451655153	0.550754485	FALSE	FALSE	FALSE
385	3.636111111	0.493506494	0.049988867	0.443517626	0.543495361	FALSE	FALSE	FALSE
396	3.75	0.5225	0.049551107	0.472948893	0.572051107	FALSE	FALSE	FALSE
330	3.116666667	0.454545455	0.049746198	0.404799257	0.504291653	FALSE	FALSE	FALSE
430	4.061111111	0.509302326	0.049658573	0.459643753	0.558960898	FALSE	FALSE	FALSE
365	3.447222222	0.473972603	0.049853409	0.424119193	0.523826012	FALSE	FALSE	FALSE
340	3.211111111	0.467647059	0.049693872	0.417953187	0.517340931	FALSE	FALSE	FALSE
422	3.993055556	0.478823529	0.049974223	0.428849306	0.528797752	FALSE	FALSE	FALSE
425	4.013888889	0.437647059	0.049745716	0.387901343	0.487392775	FALSE	FALSE	FALSE
390	3.683333333	0.492307692	0.049914945	0.442392747	0.542222638	FALSE	FALSE	FALSE
370	3.494444444	0.483783784	0.04946342	0.434320364	0.533247204	FALSE	FALSE	FALSE
320	3.022222222	0.471875	0.049668987	0.422206013	0.521543987	FALSE	FALSE	FALSE
479	4.526388889	0.472395833	0.049848571	0.422547262	0.522244405	FALSE	FALSE	FALSE
399	3.770833333	0.51125	0.049675916	0.461574084	0.560925916	FALSE	FALSE	FALSE
380	3.588888889	0.513157895	0.049981894	0.463176001	0.563139788	FALSE	FALSE	FALSE
445	4.202777778	0.480898876	0.049608564	0.431290312	0.530507441	FALSE	FALSE	FALSE
380	3.588888889	0.486842105	0.049981894	0.436860212	0.536823999	FALSE	FALSE	FALSE
255	2.408333333	0.498039216	0.049550231	0.448488985	0.547589446	FALSE	FALSE	FALSE
465	4.391666667	0.488172043	0.049949654	0.438222389	0.538121697	FALSE	FALSE	FALSE
371	3.513888889	0.501333333	0.04956871	0.451764623	0.550902044	FALSE	FALSE	FALSE
335	3.163888889	0.486567164	0.049476881	0.437090283	0.536044045	FALSE	FALSE	FALSE
410	3.872222222	0.504878049	0.049625394	0.455252654	0.554503443	FALSE	FALSE	FALSE
445	4.202777778	0.478651685	0.049568556	0.42908313	0.528220241	FALSE	FALSE	FALSE
450	4.25	0.511111111	0.049980935	0.461130176	0.561092047	FALSE	FALSE	FALSE
435	4.108333333	0.487356322	0.049932429	0.437423893	0.53728875	FALSE	FALSE	FALSE
387	3.6625	0.503205128	0.049698653	0.453506475	0.552903782	FALSE	FALSE	FALSE
375	3.541666667	0.544	0.049672862	0.494327138	0.593672862	FALSE	FALSE	FALSE
380	3.588888889	0.489473684	0.049471879	0.440001805	0.538945563	FALSE	FALSE	FALSE
395	3.730555556	0.491139241	0.049835161	0.441304079	0.540974402	FALSE	FALSE	FALSE
436	4.127777778	0.515909091	0.049774932	0.466134159	0.565684023	FALSE	FALSE	FALSE
490	4.627777778	0.467346939	0.049874805	0.417472133	0.517221744	FALSE	FALSE	FALSE
