annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
135	2.475	0.903703704	0.049947472	0.853756231	0.953651176	FALSE	FALSE	FALSE
67	1.265277778	0.955223881	0.049894415	0.905329466	1.005118296	FALSE	FALSE	TRUE
86	1.597222222	0.941860465	0.049747091	0.892113374	0.991607556	FALSE	FALSE	FALSE
67	1.265277778	0.955223881	0.049894415	0.905329466	1.005118296	FALSE	FALSE	TRUE
120	2.233333333	0.916666667	0.049658055	0.867008611	0.966324722	FALSE	FALSE	FALSE
153	2.7625	0.888888889	0.049960731	0.838928158	0.93884962	FALSE	FALSE	FALSE
86	1.609722222	0.941860465	0.049747091	0.892113374	0.991607556	FALSE	FALSE	FALSE
94	1.752777778	0.936170213	0.049681617	0.886488596	0.98585183	FALSE	FALSE	FALSE
145	2.606944444	0.896551724	0.049741187	0.846810537	0.946292912	FALSE	FALSE	FALSE
108	1.95	0.925925926	0.049622363	0.876303563	0.975548289	FALSE	FALSE	FALSE
55	1.006944444	0.963636364	0.049927688	0.913708676	1.013564051	FALSE	FALSE	TRUE
125	2.280555556	0.912	0.049862724	0.862137276	0.961862724	FALSE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
173	3.076388889	0.87283237	0.049789479	0.823042891	0.922621849	FALSE	FALSE	FALSE
120	2.258333333	0.916666667	0.049658055	0.867008611	0.966324722	FALSE	FALSE	FALSE
140	2.534722222	0.9	0.049872593	0.850127407	0.949872593	FALSE	FALSE	FALSE
101	1.901388889	0.930693069	0.049778255	0.880914815	0.980471324	FALSE	FALSE	FALSE
108	2	0.925925926	0.049622363	0.876303563	0.975548289	FALSE	FALSE	FALSE
101	1.926388889	0.930693069	0.049778255	0.880914815	0.980471324	FALSE	FALSE	FALSE
149	2.622222222	0.89261745	0.04987889	0.84273856	0.942496339	FALSE	FALSE	FALSE
86	1.634722222	0.941860465	0.049747091	0.892113374	0.991607556	FALSE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
145	2.656944444	0.896551724	0.049741187	0.846810537	0.946292912	FALSE	FALSE	FALSE
94	1.727777778	0.936170213	0.049681617	0.886488596	0.98585183	FALSE	FALSE	FALSE
140	2.584722222	0.9	0.049872593	0.850127407	0.949872593	FALSE	FALSE	FALSE
135	2.4375	0.903703704	0.049947472	0.853756231	0.953651176	FALSE	FALSE	FALSE
145	2.694444444	0.896551724	0.049741187	0.846810537	0.946292912	FALSE	FALSE	FALSE
135	2.375	0.903703704	0.049947472	0.853756231	0.953651176	FALSE	FALSE	FALSE
114	2.116666667	0.921052632	0.049718718	0.871333914	0.97077135	FALSE	FALSE	FALSE
135	2.4625	0.903703704	0.049947472	0.853756231	0.953651176	FALSE	FALSE	FALSE
67	1.290277778	0.955223881	0.049894415	0.905329466	1.005118296	FALSE	FALSE	TRUE
77	1.459722222	0.948051948	0.049893273	0.898158675	0.997945221	FALSE	FALSE	FALSE
67	1.252777778	0.955223881	0.049894415	0.905329466	1.005118296	FALSE	FALSE	TRUE
180	3.275	0.866666667	0.049798584	0.816868083	0.91646525	FALSE	FALSE	FALSE
120	2.220833333	0.916666667	0.049658055	0.867008611	0.966324722	FALSE	FALSE	FALSE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
114	2.104166667	0.921052632	0.049718718	0.871333914	0.97077135	FALSE	FALSE	FALSE
40	0.777777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
157	2.827777778	0.885350318	0.049995371	0.835354948	0.935345689	FALSE	FALSE	FALSE
55	1.044444444	0.963636364	0.049927688	0.913708676	1.013564051	FALSE	FALSE	TRUE
135	2.425	0.903703704	0.049947472	0.853756231	0.953651176	FALSE	FALSE	FALSE
55	1.031944444	0.963636364	0.049927688	0.913708676	1.013564051	FALSE	FALSE	TRUE
145	2.656944444	0.896551724	0.049741187	0.846810537	0.946292912	FALSE	FALSE	FALSE
157	2.865277778	0.885350318	0.049995371	0.835354948	0.935345689	FALSE	FALSE	FALSE
77	1.409722222	0.948051948	0.049893273	0.898158675	0.997945221	FALSE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
140	2.472222222	0.9	0.049872593	0.850127407	0.949872593	FALSE	FALSE	FALSE
145	2.569444444	0.896551724	0.049741187	0.846810537	0.946292912	FALSE	FALSE	FALSE
130	2.440277778	0.907692308	0.049950692	0.857741616	0.957643	FALSE	FALSE	FALSE
108	1.9875	0.925925926	0.049622363	0.876303563	0.975548289	FALSE	FALSE	FALSE
161	2.918055556	0.881987578	0.049990007	0.831997571	0.931977584	FALSE	FALSE	FALSE
114	2.091666667	0.921052632	0.049718718	0.871333914	0.97077135	FALSE	FALSE	FALSE
108	1.9375	0.925925926	0.049622363	0.876303563	0.975548289	FALSE	FALSE	FALSE
