annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
133	1.661111111	0.911509765	0.049710091	0.861799674	0.961219856	FALSE	FALSE	FALSE
73	0.919444444	0.934553763	0.049821277	0.884732486	0.984375041	FALSE	FALSE	FALSE
165	2.070833333	0.909139785	0.049755619	0.859384166	0.958895404	FALSE	FALSE	FALSE
157	2.002777778	0.921360629	0.049647801	0.871712827	0.97100843	FALSE	FALSE	FALSE
30	0.383333333	0.956451613	0.049278734	0.907172879	1.005730346	FALSE	FALSE	TRUE
134	1.693055556	0.917047898	0.049465532	0.867582366	0.966513431	FALSE	FALSE	FALSE
39	0.495833333	0.978225806	0.042676635	0.935549171	1.020902442	FALSE	FALSE	TRUE
108	1.3375	0.907640221	0.04988349	0.857756731	0.957523711	FALSE	FALSE	FALSE
149	1.847222222	0.898696644	0.049967769	0.848728875	0.948664413	FALSE	FALSE	FALSE
129	1.595833333	0.91116129	0.049852235	0.861309055	0.961013526	FALSE	FALSE	FALSE
30	0.383333333	0.947741935	0.041814392	0.905927543	0.989556328	FALSE	FALSE	FALSE
169	2.161111111	0.90774354	0.049266421	0.858477119	0.957009962	FALSE	FALSE	FALSE
48	0.595833333	0.963780419	0.049861087	0.913919331	1.013641506	FALSE	FALSE	TRUE
31	0.390277778	0.987557604	0.024386649	0.963170955	1.011944252	FALSE	FALSE	TRUE
125	1.568055556	0.903866392	0.049739298	0.854127094	0.95360569	FALSE	FALSE	FALSE
235	2.944444444	0.864336525	0.04955264	0.814783885	0.913889165	FALSE	FALSE	FALSE
158	2.009722222	0.914942823	0.048349599	0.866593224	0.963292422	FALSE	FALSE	FALSE
139	1.727777778	0.925554093	0.049899323	0.87565477	0.975453415	FALSE	FALSE	FALSE
140	1.759722222	0.923502304	0.047395561	0.876106743	0.970897865	FALSE	FALSE	FALSE
42	0.529166667	0.888614801	0.047604438	0.841010362	0.936219239	FALSE	FALSE	FALSE
218	2.713888889	0.892377539	0.049735678	0.842641861	0.942113217	FALSE	FALSE	FALSE
