annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
111	1.395833333	0.946666667	0.049772974	0.896893693	0.996439641	FALSE	FALSE	FALSE
184	2.290277778	0.901234568	0.049626153	0.851608415	0.950860721	FALSE	FALSE	FALSE
60	0.766666667	0.964285714	0.048571314	0.9157144	1.012857028	FALSE	FALSE	TRUE
42	0.541666667	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
186	2.354166667	0.901960784	0.049896479	0.852064306	0.951857263	FALSE	FALSE	FALSE
32	0.397222222	1	0	1	1	TRUE	FALSE	FALSE
143	1.793055556	0.919270833	0.049872875	0.869397958	0.969143709	FALSE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
128	1.588888889	0.94047619	0.049546536	0.890929654	0.990022727	FALSE	FALSE	FALSE
152	1.855555556	0.921875	0.049326798	0.872548202	0.971201798	FALSE	FALSE	FALSE
174	2.158333333	0.885964912	0.049789519	0.836175393	0.935754431	FALSE	FALSE	FALSE
217	2.756944444	0.888333333	0.049585124	0.838748209	0.937918458	FALSE	FALSE	FALSE
187	2.311111111	0.893004115	0.049801995	0.84320212	0.942806111	FALSE	FALSE	FALSE
158	1.959722222	0.900966184	0.049705916	0.851260267	0.9506721	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
162	2.0625	0.913333333	0.049747741	0.863585592	0.963081074	FALSE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
180	2.2875	0.913654618	0.049569791	0.864084828	0.963224409	FALSE	FALSE	FALSE
220	2.740277778	0.890034364	0.049724921	0.840309443	0.939759286	FALSE	FALSE	FALSE
170	2.130555556	0.907894737	0.049858733	0.858036004	0.95775347	FALSE	FALSE	FALSE
219	2.733333333	0.883161512	0.049558338	0.833603174	0.93271985	FALSE	FALSE	FALSE
225	2.8375	0.890522876	0.049753783	0.840769092	0.940276659	FALSE	FALSE	FALSE
177	2.216666667	0.900843882	0.049769316	0.851074566	0.950613198	FALSE	FALSE	FALSE
206	2.618055556	0.901754386	0.049733067	0.852021319	0.951487453	FALSE	FALSE	FALSE
143	1.805555556	0.935897436	0.049979896	0.885917539	0.985877332	FALSE	FALSE	FALSE
169	2.111111111	0.897777778	0.049567055	0.848210722	0.947344833	FALSE	FALSE	FALSE
175	2.165277778	0.921052632	0.049511696	0.871540936	0.970564327	FALSE	FALSE	FALSE
53	0.668055556	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
173	2.188888889	0.907172996	0.049848531	0.857324465	0.957021527	FALSE	FALSE	FALSE
84	1.058333333	0.947368421	0.049442804	0.897925617	0.996811225	FALSE	FALSE	FALSE
106	1.298611111	0.92962963	0.049233787	0.880395843	0.978863417	FALSE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
53	0.668055556	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
125	1.555555556	0.893939394	0.049691622	0.844247772	0.943631016	FALSE	FALSE	FALSE
202	2.527777778	0.924074074	0.049821054	0.87425302	0.973895128	FALSE	FALSE	FALSE
240	3.004166667	0.873831776	0.049617988	0.824213788	0.923449763	FALSE	FALSE	FALSE
144	1.8125	0.91025641	0.049663063	0.860593347	0.959919474	FALSE	FALSE	FALSE
231	2.854166667	0.863333333	0.04965572	0.813677613	0.912989054	FALSE	FALSE	FALSE
150	1.916666667	0.90952381	0.049603254	0.859920555	0.959127064	FALSE	FALSE	FALSE
44	0.555555556	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
159	1.954166667	0.928921569	0.049503736	0.879417832	0.978425305	FALSE	FALSE	FALSE
171	2.1125	0.914414414	0.049588464	0.864825951	0.964002878	FALSE	FALSE	FALSE
84	1.058333333	0.956140351	0.048792212	0.907348139	1.004932563	FALSE	FALSE	TRUE
141	1.729166667	0.925	0.049973695	0.875026305	0.974973695	FALSE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
170	2.143055556	0.909090909	0.049631539	0.85945937	0.958722448	FALSE	FALSE	FALSE
184	2.315277778	0.889558233	0.049543109	0.840015124	0.939101342	FALSE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
174	2.183333333	0.920940171	0.049416789	0.871523382	0.97035696	FALSE	FALSE	FALSE
88	1.123611111	0.93495935	0.049564242	0.885395108	0.984523591	FALSE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
46	0.569444444	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.358333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
136	1.681944444	0.920903955	0.049542388	0.871361567	0.970446343	FALSE	FALSE	FALSE
283	3.527777778	0.866666667	0.049783135	0.816883532	0.916449802	FALSE	FALSE	FALSE
171	2.1375	0.912280702	0.049511696	0.862769006	0.961792397	FALSE	FALSE	FALSE
34	0.411111111	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
42	0.516666667	0.962962963	0.049797193	0.91316577	1.012760156	FALSE	FALSE	TRUE
148	1.852777778	0.906565657	0.0499375	0.856628157	0.956503156	FALSE	FALSE	FALSE
32	0.397222222	1	0	1	1	TRUE	FALSE	FALSE
92	1.151388889	0.93495935	0.049564242	0.885395108	0.984523591	FALSE	FALSE	FALSE
53	0.668055556	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
88	1.123611111	0.93495935	0.049564242	0.885395108	0.984523591	FALSE	FALSE	FALSE
112	1.390277778	0.925170068	0.049552652	0.875617416	0.97472272	FALSE	FALSE	FALSE
100	1.256944444	0.92962963	0.049233787	0.880395843	0.978863417	FALSE	FALSE	FALSE
172	2.131944444	0.888888889	0.049737434	0.839151455	0.938626323	FALSE	FALSE	FALSE
102	1.245833333	0.934108527	0.04998051	0.884128018	0.984089037	FALSE	FALSE	FALSE
172	2.144444444	0.921052632	0.049511696	0.871540936	0.970564327	FALSE	FALSE	FALSE
161	2.005555556	0.924882629	0.049814437	0.875068192	0.974697066	FALSE	FALSE	FALSE
41	0.534722222	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
31	0.377777778	1	0	1	1	TRUE	FALSE	FALSE
94	1.190277778	0.934108527	0.04998051	0.884128018	0.984089037	FALSE	FALSE	FALSE
164	2.051388889	0.913242009	0.049812558	0.863429451	0.963054567	FALSE	FALSE	FALSE
175	2.227777778	0.903292181	0.049985354	0.853306827	0.953277535	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
129	1.620833333	0.925287356	0.049640395	0.875646962	0.974927751	FALSE	FALSE	FALSE
107	1.368055556	0.93	0.049465758	0.880534242	0.979465758	FALSE	FALSE	FALSE
193	2.452777778	0.917602996	0.049830004	0.867772992	0.967433	FALSE	FALSE	FALSE
167	2.072222222	0.853881279	0.049745515	0.804135763	0.903626794	FALSE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
180	2.2375	0.907172996	0.04949992	0.857673075	0.956672916	FALSE	FALSE	FALSE
116	1.405555556	0.909722222	0.049554226	0.860167997	0.959276448	FALSE	FALSE	FALSE
154	1.944444444	0.904761905	0.049996183	0.854765722	0.954758087	FALSE	FALSE	FALSE
180	2.275	0.896341463	0.049623894	0.846717569	0.945965358	FALSE	FALSE	FALSE
88	1.098611111	0.935897436	0.048915099	0.886982337	0.984812535	FALSE	FALSE	FALSE
72	0.9125	0.954545455	0.049802417	0.904743037	1.004347872	FALSE	FALSE	TRUE
153	1.95	0.922535211	0.049399919	0.873135292	0.971935131	FALSE	FALSE	FALSE
234	2.875	0.888333333	0.049585124	0.838748209	0.937918458	FALSE	FALSE	FALSE
162	2.025	0.914351852	0.049626867	0.864724985	0.963978719	FALSE	FALSE	FALSE
32	0.397222222	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
247	3.127777778	0.877581121	0.049790721	0.8277904	0.927371842	FALSE	FALSE	FALSE
71	0.893055556	0.947916667	0.049604555	0.898312112	0.997521221	FALSE	FALSE	FALSE
179	2.293055556	0.880952381	0.049969175	0.830983205	0.930921556	FALSE	FALSE	FALSE
181	2.281944444	0.896341463	0.049623894	0.846717569	0.945965358	FALSE	FALSE	FALSE
139	1.715277778	0.916666667	0.049412601	0.867254065	0.966079268	FALSE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
66	0.845833333	0.940860215	0.049199806	0.891660409	0.990060021	FALSE	FALSE	FALSE
55	0.681944444	0.965277778	0.048079797	0.91719798	1.013357575	FALSE	FALSE	TRUE
191	2.463888889	0.901098901	0.049748667	0.851350234	0.950847568	FALSE	FALSE	FALSE
141	1.766666667	0.907407407	0.049462605	0.857944802	0.956870013	FALSE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
52	0.636111111	0.954545455	0.048925124	0.90562033	1.003470579	FALSE	FALSE	TRUE
205	2.586111111	0.899641577	0.049727936	0.849913641	0.949369513	FALSE	FALSE	FALSE
