annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero-width	overshooting	overshooting
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
55	0.994444444	0.963636364	0.049927688	0.913708676	1.013564051	FALSE	FALSE	TRUE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
40	0.715277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
55	0.981944444	0.963636364	0.049927688	0.913708676	1.013564051	FALSE	FALSE	TRUE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.533333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
40	0.765277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
40	0.740277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
40	0.702777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.545833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.570833333	1	0	1	1	TRUE	FALSE	FALSE
40	0.740277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
40	0.765277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
40	0.752777778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.558333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.583333333	1	0	1	1	TRUE	FALSE	FALSE
40	0.740277778	0.975	0.0489991	0.9260009	1.0239991	FALSE	FALSE	TRUE
