annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
32	0.397222222	1	0	1	1	TRUE	FALSE	FALSE
30	0.445833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.422222222	0.980175909	0.038854505	0.941321404	1.019030414	FALSE	FALSE	TRUE
45	0.6	1	0	1	1	TRUE	FALSE	FALSE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	0.986050986	0.027339565	0.958711421	1.013390551	FALSE	FALSE	TRUE
30	0.420833333	0.981497515	0.036264205	0.94523331	1.017761719	FALSE	FALSE	TRUE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
35	0.468055556	0.96299503	0.04941978	0.913575249	1.01241481	FALSE	FALSE	TRUE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.427777778	1	0	1	1	TRUE	FALSE	FALSE
35	0.493055556	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
31	0.440277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.459722222	0.818004607	0.028629635	0.789374972	0.846634243	FALSE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
61	0.798611111	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.377777778	1	0	1	1	TRUE	FALSE	FALSE
30	0.433333333	0.801774357	0.041461732	0.760312626	0.843236089	FALSE	FALSE	FALSE
31	0.427777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.427777778	0.981497515	0.036264205	0.94523331	1.017761719	FALSE	FALSE	TRUE
61	0.836111111	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
44	0.543055556	0.964055235	0.049846226	0.914209009	1.013901461	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
32	0.459722222	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
59	0.747222222	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
37	0.469444444	0.96299503	0.04941978	0.913575249	1.01241481	FALSE	FALSE	TRUE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.447222222	1	0	1	1	TRUE	FALSE	FALSE
39	0.508333333	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
38	0.488888889	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.452777778	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
32	0.422222222	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
47	0.638888889	1	0	1	1	TRUE	FALSE	FALSE
31	0.402777778	0.832611833	0	0.832611833	0.832611833	TRUE	FALSE	FALSE
31	0.415277778	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
46	0.619444444	0.987384669	0.024725594	0.962659075	1.012110263	FALSE	FALSE	TRUE
31	0.440277778	1	0	1	1	TRUE	FALSE	FALSE
63	0.775	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
34	0.486111111	1	0	1	1	TRUE	FALSE	FALSE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
44	0.568055556	0.981401315	0.036452753	0.944948561	1.017854068	FALSE	FALSE	TRUE
31	0.390277778	0.974769338	0.049451188	0.92531815	1.024220526	FALSE	FALSE	TRUE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
