annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound	zero width	overshooting	overshooting
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.445833333	0.98245614	0.034385333	0.948070807	1.016841473	FALSE	FALSE	TRUE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
32	0.422222222	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
32	0.434722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
31	0.427777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
34	0.461111111	0.962962963	0.049797193	0.91316577	1.012760156	FALSE	FALSE	TRUE
32	0.447222222	0.981481481	0.036295629	0.945185852	1.017777111	FALSE	FALSE	TRUE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	0.979166667	0.040832583	0.938334084	1.01999925	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.445833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	1	0	1	1	TRUE	FALSE	FALSE
33	0.404166667	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.445833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.395833333	0.977777778	0.043554755	0.934223023	1.021332533	FALSE	FALSE	TRUE
30	0.420833333	1	0	1	1	TRUE	FALSE	FALSE
32	0.447222222	1	0	1	1	TRUE	FALSE	FALSE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	0.979166667	0.040832583	0.938334084	1.01999925	FALSE	FALSE	TRUE
30	0.383333333	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.358333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.402777778	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
31	0.427777778	0.980392157	0.038430666	0.94196149	1.018822823	FALSE	FALSE	TRUE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
30	0.433333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.390277778	0.976190476	0.046665809	0.929524667	1.022856285	FALSE	FALSE	TRUE
32	0.409722222	0.977777778	0.043554755	0.934223023	1.021332533	FALSE	FALSE	TRUE
32	0.409722222	1	0	1	1	TRUE	FALSE	FALSE
30	0.370833333	1	0	1	1	TRUE	FALSE	FALSE
33	0.454166667	0.962962963	0.049797193	0.91316577	1.012760156	FALSE	FALSE	TRUE
31	0.390277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.383333333	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
31	0.415277778	1	0	1	1	TRUE	FALSE	FALSE
30	0.408333333	1	0	1	1	TRUE	FALSE	FALSE
32	0.384722222	1	0	1	1	TRUE	FALSE	FALSE
